"","Genus","Species"
"Otu0417",NA,NA
"Otu0418",NA,NA
"Otu0420",NA,NA
"Otu0421",NA,NA
"Otu0424",NA,NA
"Otu0427",NA,NA
"Otu0428",NA,NA
"Otu0429",NA,NA
"Otu0431",NA,NA
"Otu0432","Kangiella","japonica/spongicola"
"Otu0433","Chromohalobacter","canadensis/israelensis/marismortui/salexigens/thailandensis"
"Otu0435",NA,NA
"Otu0436",NA,NA
"Otu0438",NA,NA
"Otu0439",NA,NA
"Otu0440",NA,NA
"Otu0443",NA,NA
"Otu0444","Paeniclostridium","ghonii/sordellii"
"Otu0446",NA,"aldovae/aleksiciae/aquatilis/bercovieri/enterocolitica/frederiksenii/grimesii/intermedia/kristensenii/liquefaciens/massiliensis/mollaretii/myotis/pekkanenii/pestis/plymuthica/proteamaculans/pseudotuberculosis/quinivorans/rohdei/ruckeri/similis/wautersii"
"Otu0447",NA,NA
"Otu0448",NA,NA
"Otu0454",NA,NA
"Otu0456",NA,NA
"Otu0458",NA,NA
"Otu0459",NA,NA
"Otu0460",NA,NA
"Otu0461",NA,NA
"Otu0463",NA,NA
"Otu0464",NA,NA
"Otu0465",NA,NA
"Otu0466",NA,NA
"Otu0467",NA,NA
"Otu0468",NA,NA
"Otu0470",NA,NA
"Otu0471","Corynebacterium","matruchotii"
"Otu0473",NA,NA
"Otu0474",NA,NA
"Otu0475",NA,NA
"Otu0477",NA,NA
"Otu0479",NA,NA
"Otu0480",NA,NA
"Otu0481",NA,NA
"Otu0482","Chryseobacterium","hominis"
"Otu0483",NA,NA
"Otu0484",NA,NA
"Otu0486",NA,NA
"Otu0489",NA,NA
"Otu0490",NA,NA
"Otu0491","Halobacillus","aidingensis/alkaliphilus/andaensis/blutaparonensis/dabanensis/faecis/halophilus/herbersteinensis/karajensis/kuroshimensis/litoralis/massiliensis/profundi/styriensis/trueperi/virgiliensis/yeomjeoni"
"Otu0492",NA,NA
"Otu0495",NA,NA
"Otu0497","Marinobacter","adhaerens/confluentis/salinaria/salsuginis"
"Otu0499",NA,NA
"Otu0503","Flammeovirga","aprica"
"Otu0505",NA,NA
"Otu0507",NA,NA
"Otu0508",NA,NA
"Otu0510","Algoriphagus","ornithinivorans"
"Otu0511",NA,NA
"Otu0516",NA,NA
"Otu0517",NA,NA
"Otu0521",NA,NA
"Otu0523",NA,NA
"Otu0525",NA,NA
"Otu0527",NA,NA
"Otu0528",NA,NA
"Otu0529",NA,NA
"Otu0530",NA,NA
"Otu0531",NA,NA
"Otu0532",NA,NA
"Otu0533",NA,NA
"Otu0535",NA,NA
"Otu0536",NA,NA
"Otu0537",NA,NA
"Otu0540",NA,NA
"Otu0541",NA,NA
"Otu0543",NA,NA
"Otu0544",NA,NA
"Otu0545","Lactobacillus","phage/reuteri/salivarius"
"Otu0547",NA,NA
"Otu0548","Fabibacter","pacificus"
"Otu0549",NA,NA
"Otu0550",NA,NA
"Otu0552",NA,NA
"Otu0553",NA,NA
"Otu0554",NA,NA
"Otu0556",NA,NA
"Otu0558",NA,NA
"Otu0559",NA,NA
"Otu0560",NA,NA
"Otu0563",NA,NA
"Otu0565",NA,NA
"Otu0566",NA,NA
"Otu0569",NA,NA
"Otu0570",NA,NA
"Otu0571",NA,NA
"Otu0572",NA,NA
"Otu0574",NA,NA
"Otu0576",NA,NA
"Otu0579",NA,NA
"Otu0582","Salinisphaera","japonica"
"Otu0584",NA,NA
"Otu0585",NA,NA
"Otu0587",NA,NA
"Otu0591",NA,NA
"Otu0592",NA,NA
"Otu0594",NA,NA
"Otu0597","Cetobacterium","ceti"
"Otu0601",NA,NA
"Otu0602",NA,NA
"Otu0605",NA,NA
"Otu0608",NA,NA
"Otu0609",NA,NA
"Otu0610",NA,NA
"Otu0612","Cloacibacterium","normanense/rupense"
"Otu0613",NA,NA
"Otu0614",NA,NA
"Otu0617",NA,NA
"Otu0618",NA,NA
"Otu0620",NA,NA
"Otu0621",NA,NA
"Otu0622","Nonlabens","sediminis/tegetincola"
"Otu0625","Kocuria","dechangensis/flava/himachalensis/polaris/rosea/sediminis/turfanensis"
"Otu0626",NA,NA
"Otu0627",NA,NA
"Otu0628",NA,NA
"Otu0630",NA,NA
"Otu0631",NA,NA
"Otu0633",NA,NA
"Otu0635",NA,NA
"Otu0637",NA,NA
"Otu0638","Dietzia","cinnamea/maris/papillomatosis"
"Otu0641",NA,NA
"Otu0645",NA,NA
"Otu0650",NA,NA
"Otu0651",NA,NA
"Otu0652",NA,NA
"Otu0653","Duganella","radicis"
"Otu0656",NA,NA
"Otu0658",NA,NA
"Otu0660",NA,NA
"Otu0661",NA,NA
"Otu0663",NA,NA
"Otu0664",NA,NA
"Otu0665",NA,NA
"Otu0666",NA,NA
"Otu0667",NA,NA
"Otu0669","Corynebacterium","amycolatum/jeikeium/lactis/urealyticum/vitaeruminis"
"Otu0673",NA,NA
"Otu0674",NA,NA
"Otu0676",NA,NA
"Otu0680",NA,NA
"Otu0681",NA,NA
"Otu0682",NA,NA
"Otu0684",NA,NA
