OTU,Size,Domain,Phylum,Class,Order,Family,Genus
Otu0104,597,Bacteria,Proteobacteria,Gammaproteobacteria,Oceanospirillales,Litoricolaceae,Litoricola
Otu0105,592,Bacteria,Cyanobacteria,Oxyphotobacteria,Chloroplast,Chloroplast_fa,Chloroplast_ge
Otu0106,579,Bacteria,Spirochaetes,Spirochaetia,Spirochaetales,Spirochaetaceae,Spirochaeta_2
Otu0107,572,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Thalassobius
Otu0108,572,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,Midichloriaceae,MD3-55
Otu0109,567,Bacteria,Actinobacteria,Actinobacteria,Corynebacteriales,Corynebacteriaceae,Corynebacterium_1
Otu0110,559,Bacteria,Proteobacteria,Alphaproteobacteria,Alphaproteobacteria_unclassified,Alphaproteobacteria_unclassified,Alphaproteobacteria_unclassified
Otu0111,557,Bacteria,Proteobacteria,Proteobacteria_unclassified,Proteobacteria_unclassified,Proteobacteria_unclassified,Proteobacteria_unclassified
Otu0112,536,Bacteria,Marinimicrobia_(SAR406_clade),Marinimicrobia_(SAR406_clade)_cl,Marinimicrobia_(SAR406_clade)_or,Marinimicrobia_(SAR406_clade)_fa,Marinimicrobia_(SAR406_clade)_ge
Otu0113,528,Bacteria,Bacteroidetes,Bacteroidia,Sphingobacteriales,Sphingobacteriales_unclassified,Sphingobacteriales_unclassified
Otu0114,508,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,Midichloriaceae,MD3-55
Otu0115,493,Bacteria,Proteobacteria,Gammaproteobacteria,Gammaproteobacteria_unclassified,Gammaproteobacteria_unclassified,Gammaproteobacteria_unclassified
Otu0116,487,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Pseudoalteromonadaceae,Pseudoalteromonas
Otu0117,480,Bacteria,Cyanobacteria,Oxyphotobacteria,Chloroplast,Chloroplast_fa,Chloroplast_ge
Otu0118,462,Bacteria,Bacteroidetes,Bacteroidia,Flavobacteriales,Flavobacteriaceae,NS4_marine_group
Otu0119,457,Bacteria,Proteobacteria,Gammaproteobacteria,Gammaproteobacteria_unclassified,Gammaproteobacteria_unclassified,Gammaproteobacteria_unclassified
Otu0120,455,Bacteria,Proteobacteria,Gammaproteobacteria,SAR86_clade,SAR86_clade_fa,SAR86_clade_ge
Otu0121,455,Bacteria,Bacteroidetes,Bacteroidia,Flavobacteriales,Cryomorphaceae,uncultured
Otu0122,455,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus
Otu0123,449,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus
Otu0124,449,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Rhodobacteraceae_unclassified
Otu0125,442,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Escherichia-Shigella
Otu0126,438,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,Midichloriaceae,MD3-55
Otu0127,438,Bacteria,Epsilonbacteraeota,Campylobacteria,Campylobacterales,Campylobacterales_unclassified,Campylobacterales_unclassified
Otu0128,433,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,Midichloriaceae,MD3-55
Otu0129,431,Bacteria,Bacteria_unclassified,Bacteria_unclassified,Bacteria_unclassified,Bacteria_unclassified,Bacteria_unclassified
Otu0130,420,Bacteria,Firmicutes,Bacilli,Bacillales,Listeriaceae,Listeria
Otu0131,412,Bacteria,Bacteroidetes,Bacteroidia,Flavobacteriales,NS9_marine_group,NS9_marine_group_ge
Otu0132,411,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,HIMB11
Otu0133,401,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,Midichloriaceae,MD3-55
