"","sample_name","type","duplicates","species","genet.ID","Away.nursery","Home.nursery","frag.id"
"Acer153","Acer153","sample","","Acer","1","UM","NSU","1 NSU "
"Acer154","Acer154","sample","","Acer","ML8","UM","Mote","ML8 Mote "
"Acer155","Acer155","sample","","Acer","6a","UM","NSU","6a NSU "
"Acer156","Acer156","sample","","Acer","2a","UM","NSU","2a NSU "
"Acer157","Acer157","sample","","Acer","FM20","UM","FWC","FM20 FWC "
"Acer158","Acer158","sample","","Acer","Thicket3","UM","UM","Thicket3 UM "
"Acer159","Acer159","sample","","Acer","ML10","UM","Mote","ML10 Mote "
"Acer16","Acer16","sample","","Acer","TDT2","FWC","FWC","TDT2 FWC "
"Acer160","Acer160","sample","","Acer","FM12","UM","FWC","FM12 FWC "
"Acer161","Acer161","sample","","Acer","FM9","UM","FWC","FM9 FWC "
"Acer162","Acer162","sample","","Acer","TDT2","UM","FWC","TDT2 FWC "
"Acer163b","Acer163b","sample","dup","Acer","13","UM","NSU","13 NSU "
"Acer164","Acer164","sample","","Acer","8a","UM","NSU","8a NSU "
"Acer165","Acer165","sample","","Acer","6","UM","NSU","6 NSU "
"Acer166","Acer166","sample","","Acer","ML47","UM","Mote","ML47 Mote "
"Acer167","Acer167","sample","","Acer","ML54","UM","Mote","ML54 Mote "
"Acer168","Acer168","sample","","Acer","Kelseys1","UM","UM","Kelseys1 UM "
"Acer169","Acer169","sample","","Acer","ML75","UM","Mote","ML75 Mote "
"Acer17","Acer17","sample","","Acer","CoopersA","FWC","UM","CoopersA UM "
"Acer170","Acer170","sample","","Acer","20","UM","NSU","20 NSU "
"Acer171","Acer171","sample","","Acer","ML77","UM","Mote","ML77 Mote "
"Acer172","Acer172","sample","","Acer","FM13","UM","FWC","FM13 FWC "
"Acer173","Acer173","sample","","Acer","Acer126","UM","CRF","Acer126 CRF "
"Acer174","Acer174","sample","","Acer","CoopersA","UM","UM","CoopersA UM "
"Acer175","Acer175","sample","","Acer","5","UM","NSU","5 NSU "
"Acer176","Acer176","sample","","Acer","ML38","UM","Mote","ML38 Mote "
"Acer177","Acer177","sample","","Acer","ML78","UM","Mote","ML78 Mote "
"Acer178","Acer178","sample","","Acer","ML76","UM","Mote","ML76 Mote "
"Acer179","Acer179","sample","","Acer","9a","UM","NSU","9a NSU "
"Acer18","Acer18","sample","","Acer","Acer057","FWC","CRF","Acer057 CRF "
"Acer180","Acer180","sample","","Acer","ML79","UM","Mote","ML79 Mote "
"Acer181","Acer181","sample","","Acer","5","NSU","NSU","5 NSU "
"Acer182","Acer182","sample","","Acer","StagreefA","NSU","UM","StagreefA UM "
"Acer183","Acer183","sample","","Acer","Cheetosb","NSU","UM","Cheetosb UM "
"Acer184","Acer184","sample","","Acer","2a","NSU","NSU","2a NSU "
"Acer185","Acer185","sample","","Acer","13","NSU","NSU","13 NSU "
"Acer186","Acer186","sample","","Acer","Elkhorn","NSU","UM","Elkhorn UM "
"Acer187","Acer187","sample","","Acer","Acer062","NSU","CRF","Acer062 CRF "
"Acer188","Acer188","sample","","Acer","Acer057","NSU","CRF","Acer057 CRF "
"Acer189","Acer189","sample","","Acer","2","NSU","NSU","2 NSU "
"Acer19","Acer19","sample","","Acer","SunnyIslesC","FWC","UM","SunnyIslesC UM "
"Acer190","Acer190","sample","","Acer","FM21","NSU","FWC","FM21 FWC "
"Acer191","Acer191","sample","","Acer","ML20","NSU","Mote","ML20 Mote "
"Acer192","Acer192","sample","","Acer","1","NSU","NSU","1 NSU "
"Acer193","Acer193","sample","","Acer","Acer117","NSU","CRF","Acer117 CRF "
"Acer194","Acer194","sample","","Acer","ML51","NSU","Mote","ML51 Mote "
"Acer195","Acer195","sample","","Acer","Acerv2","NSU","UM","Acerv2 UM "
"Acer196","Acer196","sample","","Acer","ML13","NSU","Mote","ML13 Mote "
"Acer197","Acer197","sample","","Acer","SunnyIslesC","NSU","UM","SunnyIslesC UM "
"Acer198","Acer198","sample","","Acer","9a","NSU","NSU","9a NSU "
"Acer199","Acer199","sample","","Acer","6","NSU","NSU","6 NSU "
"Acer2","Acer2","sample","","Acer","ML29","Mote","Mote","ML29 Mote "
"Acer20","Acer20","sample","","Acer","FM19","FWC","Mote","FM19 Mote "
"Acer200","Acer200","sample","","Acer","6a","NSU","NSU","6a NSU "
"Acer201","Acer201","sample","","Acer","Acer014","NSU","CRF","Acer014 CRF "
"Acer202","Acer202","sample","","Acer","Acerv1","NSU","UM","Acerv1 UM "
"Acer203","Acer203","sample","","Acer","8a","NSU","NSU","8a NSU "
"Acer204","Acer204","sample","","Acer","4","NSU","NSU","4 NSU "
"Acer205","Acer205","sample","","Acer","8","NSU","NSU","8 NSU "
"Acer206","Acer206","sample","","Acer","4a","NSU","NSU","4a NSU "
"Acer207R","Acer207R","sample","","Acer","MiamiBeachD","CRF","UM","MiamiBeachD UM "
"Acer207R.1","Acer207R","sample","","Acer","ML13","CRF","Mote","ML13 Mote "
"Acer207","Acer207","sample","dup","Acer","MiamiBeachD","CRF","UM","MiamiBeachD UM "
"Acer207.1","Acer207","sample","dup","Acer","ML13","CRF","Mote","ML13 Mote "
"Acer208","Acer208","sample","dup","Acer","5a","CRF","NSU","5a NSU "
"Acer208.1","Acer208","sample","dup","Acer","CoopersA","CRF","UM","CoopersA UM "
"Acer208R","Acer208R","sample","","Acer","5a","CRF","NSU","5a NSU "
