"Sample"	"3.1-Dereplication"	"3.2-Denoising"	"4-ESV"
"Acer355_S320_L001"	"71692 (8926 uniques)"	"71499 (67 uniques)"	"71108 (59 uniques)"
"Acer356_S321_L001"	"60863 (6770 uniques)"	"60677 (43 uniques)"	"60355 (38 uniques)"
"Acer357_S322_L001"	"46403 (6304 uniques)"	"46173 (80 uniques)"	"45897 (67 uniques)"
"Acer358_S323_L001"	"8649 (1469 uniques)"	"8594 (15 uniques)"	"8519 (9 uniques)"
"Acer35_S35_L001"	"5771 (1149 uniques)"	"5716 (16 uniques)"	"5675 (14 uniques)"
"Acer362_S324_L001"	"49379 (6134 uniques)"	"49198 (62 uniques)"	"49004 (47 uniques)"
"Acer364_S325_L001"	"276681 (26404 uniques)"	"276127 (157 uniques)"	"275101 (154 uniques)"
"Acer365_S326_L001"	"105800 (12834 uniques)"	"105497 (134 uniques)"	"104981 (129 uniques)"
"Acer366_S327_L001"	"64819 (7105 uniques)"	"64630 (42 uniques)"	"64375 (30 uniques)"
"Acer367_S328_L001"	"282648 (30504 uniques)"	"281903 (116 uniques)"	"280988 (120 uniques)"
"Acer369_S329_L001"	"370416 (40224 uniques)"	"369754 (150 uniques)"	"367562 (143 uniques)"
"Acer36_S36_L001"	"4233 (698 uniques)"	"4188 (10 uniques)"	"4156 (6 uniques)"
"Acer370_S330_L001"	"76743 (10227 uniques)"	"76551 (74 uniques)"	"76178 (63 uniques)"
"Acer372_S331_L001"	"311604 (37040 uniques)"	"310698 (250 uniques)"	"308896 (234 uniques)"
"Acer373_S332_L001"	"71374 (10457 uniques)"	"71178 (104 uniques)"	"70609 (85 uniques)"
"Acer37_S37_L001"	"16027 (2036 uniques)"	"15930 (36 uniques)"	"15823 (23 uniques)"
"Acer38_S38_L001"	"17317 (2279 uniques)"	"17194 (37 uniques)"	"17023 (25 uniques)"
"Acer395_S333_L001"	"82654 (10337 uniques)"	"82388 (90 uniques)"	"81886 (82 uniques)"
"Acer398_S334_L001"	"52806 (6661 uniques)"	"52631 (123 uniques)"	"52287 (100 uniques)"
"Acer39_S39_L001"	"5353 (866 uniques)"	"5313 (15 uniques)"	"5274 (10 uniques)"
"Acer3_S3_L001"	"3403 (620 uniques)"	"3376 (15 uniques)"	"3352 (9 uniques)"
"Acer402_S335_L001"	"57800 (7539 uniques)"	"57610 (107 uniques)"	"57275 (92 uniques)"
"Acer406_S336_L001"	"47946 (6125 uniques)"	"47726 (94 uniques)"	"47287 (62 uniques)"
"Acer40_S40_L001"	"56469 (5452 uniques)"	"56271 (98 uniques)"	"55771 (64 uniques)"
"Acer410_S337_L001"	"32715 (5035 uniques)"	"32566 (119 uniques)"	"32247 (85 uniques)"
"Acer413_S338_L001"	"465008 (36092 uniques)"	"464429 (119 uniques)"	"462455 (110 uniques)"
"Acer414_S339_L001"	"25879 (4099 uniques)"	"25781 (85 uniques)"	"25591 (69 uniques)"
"Acer415_S340_L001"	"44099 (5047 uniques)"	"43962 (70 uniques)"	"43691 (55 uniques)"
"Acer416_S341_L001"	"37639 (5308 uniques)"	"37495 (47 uniques)"	"37278 (39 uniques)"
"Acer419_S342_L001"	"55151 (7527 uniques)"	"54957 (64 uniques)"	"54657 (55 uniques)"
"Acer41_S41_L001"	"20808 (2621 uniques)"	"20682 (61 uniques)"	"20519 (39 uniques)"
"Acer42_S42_L001"	"7509 (910 uniques)"	"7476 (25 uniques)"	"7395 (10 uniques)"
"Acer43_S43_L001"	"2858 (787 uniques)"	"2804 (48 uniques)"	"2722 (38 uniques)"
"Acer44_S44_L001"	"6062 (968 uniques)"	"6001 (32 uniques)"	"5939 (23 uniques)"
"Acer45_S45_L001"	"3429 (544 uniques)"	"3394 (9 uniques)"	"3362 (5 uniques)"
